Player,Position,Draft Year,Draft Age,Class,School,Height,Weight,Wingspan,Standing Reach,RSCI Ranking,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,College OBPM,College DBPM,College BPM
Nikola Vucevic,PF,2011,0.5208333333333333,JR,Southern California,0.90625,0.9583333333333334,0.8958333333333334,0.96875,161,0.4166666666666667,0.375,0.20833333333333334,0.7604166666666666,0.6458333333333334,0.7395833333333334,0.020833333333333332,0.4375,0.8854166666666666,0.7395833333333334,0.8125,0.7395833333333334,0.4375,0.6666666666666666
Trey Lyles,PF,2015,0.8125,FR,Kentucky,0.71875,0.625,0.5208333333333334,0.625,13,0.20833333333333334,0.07291666666666667,0.22916666666666666,0.10416666666666667,0.125,0.5520833333333334,0.19791666666666666,0.0625,0.625,0.20833333333333334,0.08333333333333333,0.2916666666666667,0.7708333333333334,0.4270833333333333
Bobby Portis,PF,2015,0.625,SO,Arkansas,0.8125,0.7083333333333334,0.5833333333333334,0.7604166666666666,17,0.3958333333333333,0.4375,0.7083333333333334,0.21875,0.3958333333333333,0.6458333333333334,0.7916666666666666,0.5520833333333334,0.9375,0.5833333333333334,0.7291666666666666,0.7395833333333334,0.125,0.53125
Jabari Smith,PF,2022,0.8541666666666666,FR,Auburn,0.8645833333333334,0.3333333333333333,0.5625,0.8333333333333334,6,0.3541666666666667,0.2708333333333333,0.020833333333333332,0.6875,0.3541666666666667,0.8125,0.625,0.4791666666666667,0.6666666666666667,0.6666666666666666,0.6666666666666666,0.8541666666666666,0.6979166666666666,0.875
Thomas Robinson,PF,2012,0.45833333333333337,JR,Kansas,0.3854166666666667,0.6875,0.7291666666666666,0.3229166666666667,25,0.3333333333333333,0.4166666666666667,0.8333333333333334,1.0,0.9791666666666666,0.78125,0.6979166666666666,0.2916666666666667,0.41666666666666663,0.9375,0.6875,0.4583333333333333,0.5208333333333334,0.3958333333333333
Keegan Murray,PF,2022,0.20833333333333337,SO,Iowa,0.6354166666666666,0.375,0.1875,0.1875,518,0.8125,0.8125,0.8645833333333334,0.4375,0.5416666666666666,0.08333333333333333,0.75,0.7916666666666666,0.9791666666666666,0.4375,0.7708333333333334,1.0,0.4583333333333333,0.9375
Kenneth Faried,PF,2011,0.3125,SR,Morehead State,0.0625,0.25,0.25,0.625,171,0.7708333333333334,0.8541666666666666,1.0,0.9791666666666666,1.0,0.3541666666666667,0.9791666666666666,0.8333333333333334,0.33333333333333337,0.5416666666666666,0.8958333333333334,0.6041666666666666,0.22916666666666666,0.53125
Tari Eason,PF,2022,0.39583333333333337,SO,Louisiana State,0.3229166666666667,0.2708333333333333,0.6666666666666666,0.5416666666666666,113,0.6875,0.5833333333333334,0.9375,0.4166666666666667,0.625,0.3125,0.9583333333333334,0.75,0.4375,0.9791666666666666,0.5833333333333334,0.9375,0.9583333333333334,0.9583333333333334
Chet Holmgren,PF,2022,0.5833333333333333,FR,Gonzaga,0.9791666666666666,0.041666666666666664,1.0,1.0,1,0.9791666666666666,0.9791666666666666,0.5625,0.9583333333333334,0.9583333333333334,0.4375,0.2916666666666667,0.9791666666666666,0.14583333333333337,0.10416666666666667,0.3125,0.875,0.9791666666666666,0.9791666666666666
Montrezl Harrell,PF,2015,0.41666666666666663,JR,Louisville,0.16666666666666666,0.8958333333333334,0.8645833333333334,0.8020833333333334,83,0.4791666666666667,0.7083333333333334,0.4270833333333333,0.1875,0.20833333333333334,0.3958333333333333,0.5416666666666666,0.4166666666666667,0.7083333333333333,0.25,0.5,0.5833333333333334,0.5833333333333334,0.625
Tristan Thompson,PF,2011,0.6666666666666667,FR,Texas,0.28125,0.3541666666666667,0.4583333333333333,0.7604166666666666,12,0.16666666666666666,0.4791666666666667,0.9166666666666666,0.041666666666666664,0.14583333333333334,0.4166666666666667,0.5833333333333334,0.7708333333333334,0.5833333333333333,0.2916666666666667,0.5416666666666666,0.375,0.8333333333333334,0.6041666666666666
Daniel Gafford,PF,2019,0.5,SO,Arkansas,0.7604166666666666,0.4791666666666667,0.625,0.8645833333333334,36,0.8333333333333334,0.9375,0.4791666666666667,0.5520833333333334,0.4791666666666667,0.20833333333333334,0.4166666666666667,0.8645833333333334,0.5208333333333333,0.6875,0.3958333333333333,0.5208333333333334,0.3958333333333333,0.375
